"plotID","date","plotsize","spcode","species","cover","elev","tci","streamdist"
"DSLM-01-0037","00-00-1972",800,"TSUGCAN","Tsuga canadensis",5,1428,5.56561089,107.7
"DSLM-01-0082","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1355,4.8420682,94.87
"DSLM-01-0083","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1281,4.18237019,60.83
"DSLM-01-0084","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1393,5.01549006,110
"DSLM-01-0085","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1352,5.66043615,50
"DSLM-01-0087","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1434,5.14150095,100
"DSLM-01-0088","00-00-1972",800,"TSUGCAN","Tsuga canadensis",5,1447,4.01098204,180
"DSLM-01-0089","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1368,5.34712505,10
"DSLM-01-0115","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1492,4.74397278,468.6
"DSLM-01-0185","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1330,5.24024487,60
"DSLM-01-0303","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1434,5.20583916,140
"DSLM-01-0304","00-00-1972",800,"TSUGCAN","Tsuga canadensis",5,1487,5.43106413,360.6
"DSLM-01-0306","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1268,4.32509422,218.4
"DSLM-01-0307","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1557,5.80845594,465.2
"DSLM-01-0308","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1453,4.12310123,233.5
"DSLM-01-0310","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1550,5.38570213,510.9
"DSLM-01-0311","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1447,3.65149498,272
"DSLM-01-0320","00-00-1972",800,"TSUGCAN","Tsuga canadensis",5,1307,4.50789404,243.5
"DSLM-01-0321","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1508,4.6348362,205.9
"DSLM-01-0322","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1468,8.38594818,53.85
"DSLM-01-0325","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1397,5.79966593,76.16
"DSLM-01-0328","00-00-1972",800,"TSUGCAN","Tsuga canadensis",4,1382,5.59456015,202.5
"DSLM-01-0329","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1469,5.76541185,111.8
"DSLM-01-0340","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1530,5.86418486,220.2
"DSLM-01-0341","00-00-1972",800,"TSUGCAN","Tsuga canadensis",3,1376,5.83063412,0
"FRID-01-0001","05-21-2004",1000,"TSUGCAN","Tsuga canadensis",4,720.3,4.08203411,98.99
"FRID-01-0002","05-22-2004",1000,"TSUGCAN","Tsuga canadensis",1,725.9,6.59966707,136
"FRID-01-0004","05-24-2004",1000,"TSUGCAN","Tsuga canadensis",5,859.1,4.89706898,130
"FRID-01-0006","05-26-2004",1000,"TSUGCAN","Tsuga canadensis",2,670.9,4.81561184,63.25
